finOrg_id,name,country_code,region,investment_rounds,invested_companies,milestones,relationships,years_invested
5575,SciVentures Investments,AUS,South Melbourne,1,1,0,0,0.0
5576,Epicorp,AUS,Fyshwick,1,1,0,0,0.0
5577,M-Group,USA,Detroit,1,1,0,0,0.0
5578,Capybara Ventures,USA,Portland,3,2,0,3,1.46
5579,Étoile ID,unknown,unknown,1,1,0,0,0.0
558,Schroders,GBR,London,4,3,0,0,3.29
5580,INROADS Capital Partners,USA,Chicago,1,1,0,0,0.0
5581,Liberty Partners,USA,New York,4,3,0,0,7.04
5582,United Investors Group,unknown,unknown,1,1,0,0,0.0
5584,Adlevo Capital,NGA,Lagos,2,1,0,4,1.42
5585,Korea Israel Industrial R&D Foundation,ISR,Tel Aviv,1,1,0,0,0.0
5586,Intelligent Venture Capital,DEU,Aachen,2,2,0,0,4.1
5587,Fraunhofer Venture,DEU,Munich,5,5,0,0,6.32
5588,NPI Ventures,CAN,Calgary,1,1,0,0,0.0
5589,RTF Management,RUS,Saint Petersburg,2,1,0,0,0.84
559,Internet Real Estate Group,USA,Boston,1,1,0,3,0.0
5591,Brainspark,GBR,London,2,2,0,1,0.34
5592,Mic AG,DEU,Munich,1,1,0,0,0.0
5597,Teldat Group,ESP,Madrid,1,1,0,0,0.0
5598,Hart Ventures,USA,Boise,6,6,2,2,2.18
5599,Sandbox Industries,USA,Chicago,22,19,1,62,4.84
56,Boulder Ventures,USA,Denver,25,14,0,7,7.73
5601,Business Creation Center Salzburg,AUT,Salzburg,1,1,0,0,0.0
5602,Criterion Capital Partners,unknown,unknown,1,1,0,1,0.0
5603,Rock Financial Partners,USA,Little Rock,1,1,0,0,0.0
5604,phiLabs,PHL,Taguig,1,1,0,0,0.0
5606,Fontinalis Partners,USA,Detroit,14,10,1,9,3.05
5607,NAIMI group,unknown,unknown,1,1,0,0,0.0
5608,IRPLLC,unknown,unknown,1,1,0,0,0.0
561,Star Ventures,DEU,Munich,49,27,0,16,12.45
5610,The Oklahoma Publishing Company,unknown,unknown,1,1,0,0,0.0
5618,Shenzhen Municipal Government,unknown,unknown,1,1,0,0,0.0
562,Sierra Ventures,USA,SF Bay,106,70,3,18,10.58
5622,Sparebanken Vest,NOR,Bergen,5,2,0,0,3.38
5623,Bonanza invest,unknown,unknown,1,1,0,0,0.0
5624,Fjord Invest,NOR,Forde,4,4,0,0,1.11
5627,Annapurna Ventures,ITA,Milan,2,2,3,3,0.0
5629,AGS Capital Group,USA,Miami,3,3,1,0,1.69
563,Morgan Stanley,USA,New York,31,27,0,311,13.87
5630,WK Technology Fund,TWN,Taipei City,4,3,0,3,6.44
5631,Parawin Venture Capital,unknown,unknown,1,1,0,0,0.0
5633,NextView Ventures,USA,Boston,37,26,2,3,4.22
5634,BCE Capital,unknown,unknown,2,2,0,1,0.58
5636,U.S. Bancorp,USA,Minneapolis,5,4,1,3,5.13
5638,Momentum,USA,Grand Rapids,2,2,0,3,1.0
564,Deutsche Bank,DEU,Frankfurt,18,13,4,157,13.52
5640,PNC Business Credit,GBR,Haywards Heath,1,1,0,0,0.0
5641,Gladstone Capital,USA,Washington DC,3,3,0,0,7.61
5642,IT Capital,CAN,Markham,2,2,0,0,0.02
5645,Corriente Biotechnology Partners,unknown,unknown,1,1,0,0,0.0
5646,Mizuho Securities,JPN,Tokyo,2,2,0,0,5.51
5647,Cape Securities,USA,Atlanta,1,1,0,0,0.0
5648,Zesiger Capital,USA,New York,1,1,0,0,0.0
5649,Sano Ventures,unknown,unknown,1,1,0,0,0.0
5650,BSI SA,CHE,Lugano,2,2,0,0,5.86
5651,Biofrontier Partners,USA,San Diego,1,1,0,0,0.0
5652,Private Life Biomed,DEU,Hamburg,1,1,0,0,0.0
5653,Larkspur Capital Corporation,USA,New York,1,1,0,0,0.0
5654,Pequot Ventures,unknown,unknown,3,3,0,7,5.23
5655,Milepost Ventures,USA,SF Bay,1,1,0,0,0.0
5656,Cogene Ventures,USA,Houston,1,1,0,0,0.0
5657,Diamond Capital Company,unknown,unknown,2,2,0,1,0.48
5658,Kitty Hawk Capital,unknown,unknown,1,1,0,0,0.0
5659,Western States Investment Group,USA,San Diego,1,1,0,0,0.0
566,Columbus Venture Capital,USA,Washington DC,1,1,4,3,0.0
5660,Charitable Leadership Foundation,USA,Clifton Park,1,1,0,0,0.0
5661,3wVentures.com,CHE,Herisau,6,6,0,2,7.0
5662,Arthur Zaske & Associates,USA,Detroit,1,1,0,0,0.0
5663,Insight 2811 Technology Entrepreneur Fund,unknown,unknown,1,1,0,0,0.0
5664,AWM Investment Company,USA,New York,3,3,0,0,0.19
5667,Sternhill Partners,USA,Houston,2,2,0,1,0.41
5668,YMG Capital Management,unknown,unknown,1,1,0,0,0.0
5669,Biotechonomy,USA,Boston,1,1,0,1,0.0
567,iNovia Capital,CAN,Montreal,90,65,0,23,8.81
5670,CX Venture Group,TWN,New Taipei City,1,1,0,0,0.0
5671,Cape Family Fund,unknown,unknown,1,1,0,0,0.0
5672,Lansing Brown Investments,unknown,unknown,2,2,0,0,4.93
5673,St. Paul Venture Capital,unknown,unknown,2,2,0,8,5.5
5674,Medica Venture Partners,ISR,Herzliya,3,3,0,2,6.51
5675,CERN Pension Fund,CHE,Genve,1,1,0,0,0.0
5676,Perceptive Advisors,USA,New York,3,3,0,0,7.88
5677,Bristol Capital Advisors,USA,Los Angeles,2,2,0,0,0.33
5678,Commerce Health Capital,unknown,unknown,1,1,0,0,0.0
568,DFJ Frontier,USA,Los Angeles,42,26,0,10,7.97
5680,Global Opportunities (GO) Capital Asset Management,NLD,Netherlands - Other,1,1,0,0,0.0
5681,Catella Healthcare Investments,unknown,unknown,1,1,0,0,0.0
5682,Varma Mutual Pension Insurance Company,FIN,Helsinki,2,2,0,0,0.43
5683,Capital Stage,DEU,Hamburg,1,1,0,0,0.0
5684,Tokio Marine Capital,JPN,Tokyo,2,2,0,0,0.66
5685,Covington Capital,USA,Columbus,9,9,1,1,8.11
5686,Yissum Research Development,ISR,Jerusalem,4,2,0,1,7.44
5688,Rima Management,USA,New York,1,1,0,0,0.0
5689,Fifth Third Asset Management,USA,Cincinnati,1,1,0,0,0.0
569,DFJ Gotham Ventures,USA,New York,46,26,0,10,8.89
5690,Balyasny Asset Management,USA,Chicago,1,1,0,0,0.0
5691,Carpe Diem Capital Management,USA,Monroe Township,1,1,0,1,0.0
5694,Novi Management,DNK,Aalborg,1,1,0,0,0.0
5698,R Capital,USA,Columbus,1,1,0,0,0.0
5699,East Africa Capital Partners,KEN,Nairobi,1,1,0,0,0.0
57,High Country Venture,USA,Denver,26,13,0,4,8.3
5700,Fonds StratÃ©gique d'Investissement,FRA,Paris,5,5,0,0,2.47
5702,Sparbankstiftelsen SkÃ¥nes Riskkapitalstiftels,unknown,unknown,1,1,0,0,0.0
5703,LÃ¤nsfÃ¶rsÃ¤kringar SkÃ¥ne,unknown,unknown,1,1,0,0,0.0
5704,Augmenta,unknown,unknown,1,1,0,0,0.0
5705,P.U.L.S.,unknown,unknown,1,1,0,0,0.0
5706,VTT Ventures,FIN,Espoo,1,1,0,0,0.0
5707,Lifeline Ventures,FIN,Helsinki,18,16,0,4,3.46
5708,RAD BioMed Accelerator,ISR,Tel Aviv,1,1,0,0,0.0
5709,HBL Hadasit Bio Holdings,ISR,Jerusalem,1,1,0,0,0.0
571,Warburg Pincus,USA,New York,49,37,5,61,13.29
5710,Gran Plasa,unknown,unknown,1,1,0,0,0.0
5716,Matrix Asset Management,CAN,Vancouver,4,4,0,2,0.35
5717,Greenspring Associates,USA,Washington DC,15,14,0,23,3.23
5719,Societe Fonciere Financiere & de Participations,unknown,unknown,1,1,0,0,0.0
572,Ascent Venture Partners,USA,Boston,41,26,2,19,9.35
5720,PyrÃ©nÃ©es Gascogne,unknown,unknown,1,1,0,0,0.0
