finOrg_id,name,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,milestones,relationships,years_invested
f:3817,Primera Capital,unknown,unknown,unknown,2008-04-01,2013-04-08,10,7,2,5,5.02
f:3818,Wasatch Advisors,unknown,unknown,unknown,2005-11-09,2009-11-09,5,4,0,0,4.0
f:3819,InCube Ventures,USA,San Jose,SF Bay,2009-11-09,2013-08-28,7,6,0,2,3.8
f:382,Appian Ventures,USA,Denver,Denver,2005-01-11,2013-07-16,24,16,0,4,8.51
f:3820,Raffle Venture Partners,SGP,unknown,Singapore - Other,2009-11-09,2011-06-15,2,1,0,0,1.6
f:3821,DeNovo Ventures,USA,Saratoga,SF Bay,2005-04-01,2013-07-09,51,27,0,7,8.27
f:3822,eVisibility,USA,San Diego,San Diego,2012-04-19,2012-04-19,1,1,0,7,0.0
f:3823,MVM Life Science Partners,GBR,London,London,2006-11-28,2013-06-06,14,10,0,7,6.52
f:3824,Solamere Capital,USA,Lexington,Boston,,,0,0,0,6,
f:3825,Red Maple Ventures,USA,Wynne,Wynne,2009-11-10,2009-11-10,1,1,0,0,0.0
f:3826,Darwin Ventures,USA,San Francisco,SF Bay,,,0,0,0,3,
f:3827,Libra Future Fund,USA,Portland,Portland,2007-01-01,2008-01-01,2,2,0,0,1.0
f:3828,GeneSys Asset Management,BLR,Minsk,Minsk,,,0,0,0,1,
f:3829,Oak Street Investments,USA,Myrtle Beach,Myrtle Beach,2009-11-11,2009-11-11,1,1,0,0,0.0
f:383,Garage Technology Ventures Canada,CAN,"Montreal, Quebec",Montreal,2007-03-26,2008-09-01,7,5,0,0,1.44
f:3830,Europlay Capital Advisors,USA,Sherman Oaks,Los Angeles,,,0,0,1,4,
f:3831,AgeChem Venture Fund,CAN,Montreal,Montreal,2008-01-31,2013-06-04,11,7,0,0,5.34
f:3832,"Thomas, McNerney & Partners",USA,Stamford,New York,2005-06-28,2013-01-10,23,17,0,12,7.54
f:3833,Gatebridge Investments,USA,Dallas,Dallas,2009-11-11,2012-10-31,4,2,0,1,2.97
f:3834,Grupo Genetrix,ESP,Madrid,Madrid,2010-01-28,2010-01-28,1,1,0,0,0.0
f:3835,Wavepoint Ventures,USA,Menlo Park,SF Bay,2005-07-29,2010-08-30,4,4,0,4,5.09
f:3836,Ascension Ventures,USA,Clayton,Saint Louis,2006-03-21,2013-10-30,22,18,0,10,7.61
f:3837,Catalyst Health & Technology Partners,USA,Braintree,Boston,2009-10-16,2011-11-15,4,3,0,0,2.08
f:3839,FUEL Capital,HKG,Hong Kong,Hong Kong,2013-10-16,2013-12-05,3,3,0,1,0.14
f:384,Brudder Ventures,CAN,Montreal,Montreal,,,0,0,0,1,
f:3840,Florida Growth Fund,USA,Fort Lauderdale,Fort Lauderdale,2009-11-12,2013-06-11,5,5,0,0,3.58
f:3841,Rona Syndicates,unknown,unknown,unknown,2006-08-29,2009-11-12,4,2,0,0,3.21
f:3842,Gallia Ventures,SWE,Stockholm,Stockholm,,,0,0,0,0,
f:3843,GrÃ¤dde Invest,SWE,Stockholm,Stockholm,,,0,0,0,0,
f:3844,Clipperton Finance,FRA,Paris,Paris,,,0,0,1,12,
f:3845,Puget Sound Venture Club,unknown,unknown,unknown,2009-11-13,2013-11-19,2,2,0,0,4.02
f:3846,Ampal-American Israel,ISR,Herzliya,Herzliya,2009-11-12,2009-11-12,1,1,0,0,0.0
f:3847,BreezeCOM,ARE,Dubai,Dubai,2009-11-12,2009-11-12,1,1,0,0,0.0
f:3848,DRW Venture Partners,unknown,unknown,unknown,2009-11-12,2009-11-12,1,1,0,0,0.0
f:3849,MKS Ventures,CAN,Ontario,Ontario,2005-09-20,2009-11-12,2,2,0,0,4.15
f:385,Lauder Partners,USA,Atherton,SF Bay,2006-04-11,2013-08-21,10,5,0,0,7.36
f:3850,Scientific-Atlanta,USA,San Jose,SF Bay,2009-11-12,2009-11-12,1,1,0,11,0.0
f:3851,SeaPoint Ventures,USA,Seattle,Seattle,2005-07-11,2012-01-01,7,6,0,2,6.48
f:3852,West Steag Partners,DEU,Essen,Essen,2009-11-12,2009-11-12,1,1,0,0,0.0
f:3853,KM Financing Inc.,CAN,Calgary,Calgary,,,0,0,0,3,
f:3854,Innovation Works (China),CHN,Beijing,Beijing,2011-03-01,2013-11-10,7,7,3,4,2.7
f:3855,Lots,FIN,Helsinki,Helsinki,,,0,0,0,0,
f:3856,Mission Bay Capital,USA,San Francisco,SF Bay,2009-10-27,2013-05-20,5,5,0,1,3.56
f:3858,4th Level Ventures,IRL,Dublin 2,Dublin,2005-07-28,2009-11-16,4,3,0,3,4.3
f:3859,Second Century Ventures,USA,Chicago,Chicago,2009-11-16,2012-04-25,3,3,0,4,2.44
f:386,Eaglebrook School,USA,Deerfield,Deerfield,2007-07-01,2007-07-01,1,1,0,0,0.0
f:3861,Bridges Ventures,GBR,London,London,2009-11-10,2011-05-20,2,2,0,3,1.52
f:3862,Big Issue Invest,GBR,London,London,2009-11-10,2009-11-10,1,1,3,0,0.0
f:3863,Tyco Ventures,BMU,Pembroke,Pembroke,2000-10-03,2005-09-14,4,1,0,0,4.95
f:3864,Satwik Ventures,USA,San Jose,SF Bay,2000-10-03,2005-09-14,4,1,0,1,4.95
f:3867,SUITgrowth Fund,unknown,unknown,unknown,2005-08-29,2005-08-29,1,1,0,0,0.0
f:3868,Technology Alliance Investment,JPN,Tokyo,Tokyo,2007-09-17,2007-09-17,1,1,0,2,0.0
f:3869,Meidlinger Partners,USA,Philadelphia,Philadelphia,2010-10-21,2010-10-21,1,1,0,0,0.0
f:387,Lionsgate,USA,Santa Monica,Los Angeles,2007-07-01,2007-07-01,2,2,4,10,0.0
f:3870,United Investments,TWN,Taipei,Taipei,2009-11-16,2009-11-16,1,1,0,0,0.0
